"","year","season","sfc_temp","sfc_salt","btm_temp","btm_salt","ctyp_100m3","calfin_100m3","pseudo_100m3","tlong_100m3","PC1","PC2"
"1",1977,"Spring",NA,NA,NA,NA,-1.35413073543394,0.240078765906741,0.155600073098212,-1.29511906628581,-5.5660498463077,0.29427894923767
"2",1978,"Spring",-1.84523314571422,-0.238672815164645,-1.74861214863356,-0.184887159395057,-1.45004535366606,0.424866883659512,0.224523680029574,-0.936429475212397,-5.51613591137178,1.10925937315147
"3",1979,"Spring",-0.58705976636862,0.0143023140497654,-1.34723510490616,-0.12291271644355,0.733846509680153,0.10517687625128,0.0281703961981268,-1.16517195760723,-0.650602625780286,2.48328207805395
"4",1980,"Spring",-0.487374727425367,0.46105238733999,-0.887208763195695,0.211910255860759,0.309714672539061,-0.140249045998269,-0.18343709011731,-1.01661063652732,-1.28612143669103,0.0622396262164271
"5",1981,"Spring",-0.0994751477435303,0.253638549433984,-0.390056050851005,0.124637544077064,-0.0990406878401911,-0.204666364235019,0.0375703062723082,-0.615014210130077,-3.25635483673384,1.4456659730258
"6",1982,"Spring",-1.35292516329952,-0.0449310688144597,-1.10928430546831,-0.175907908071698,1.07294012187736,-0.0432974902133225,0.131668392124281,-1.03282327678971,-2.16205666683746,4.41899755602334
"7",1983,"Spring",NA,NA,NA,NA,-0.42269941461576,-0.0762149176119544,-0.169882570509279,-0.157434613280977,-2.33149214521843,-0.618032511123117
"8",1984,"Spring",-0.686907810960736,-0.0839812432442359,-0.113822350822399,-0.0634416942949413,-0.860104738764306,-0.371734597597232,-0.723562259661706,-1.19734173258886,-4.97671718624238,-1.73630196554688
"9",1985,"Spring",-0.33533824517578,0.303400145851737,0.329376473241455,0.308269564678094,-0.517633864661598,-0.356282142530427,-0.532433531004091,-1.19395415984952,-3.31321026950503,-1.31552245524079
"10",1986,"Spring",0.394619569381018,0.636770832836307,-0.0383016278630232,0.228820620684169,-0.034575347278346,-0.475461978131472,-0.571172849428446,-1.42563495028649,-4.45820243703673,-0.973807971692521
"11",1987,"Spring",-1.4147407018203,0.0144383523432673,-0.698348234233423,-0.140130914349537,-0.439013931899197,0.252870928660505,-0.440168696202945,-0.0996622756054456,-0.799073089883957,-0.597334270566232
"12",1988,"Spring",NA,NA,NA,NA,-0.842178095200918,-0.389411718620447,-0.412024902222979,-0.664247981279425,-3.3886410861913,-0.781222948734524
"13",1989,"Spring",NA,NA,NA,NA,-0.827253407263653,-0.00696433082747194,-0.00348815206739646,-0.644842095106806,-1.89551090307118,1.13000318737001
"14",1990,"Spring",-0.117527183987429,0.285941795059995,-1.01625850388014,-0.147500490088643,0.206841500858277,-0.394260111490482,-0.0425307100563272,-0.620507493607809,-2.9138624346135,-0.140335810750707
"15",1992,"Spring",-1.22577632519233,-0.281894904018049,-0.789663552301237,-0.186385127485856,0.527905178392046,-0.253197267666702,0.0996931878149045,0.217158950105152,2.13691431016625,2.91644421421011
"16",1993,"Spring",-0.184661135912807,0.111212053428388,-0.698681966687775,-0.20168161888418,0.322654038266886,-0.0939714555567833,0.144952719667352,0.905632661116257,0.971003106983604,1.32497562511417
"17",1994,"Spring",0.206736379398098,0.147749975649397,0.21076311797912,0.172016743910264,-0.172681509237708,-0.181356627288943,0.261292901290829,0.0486833607473853,0.0887206173295186,1.57054943773241
"18",1995,"Spring",-0.207794791329982,0.096644272702845,0.551947331845614,0.291011591618457,0.796882367458836,0.244441603914976,0.0561234906362886,1.05179051351606,3.21301427257828,1.05531735481145
"19",1996,"Spring",-1.50338841112227,-0.265078074278928,-1.29072294065034,-0.447507268921579,0.105016675131654,0.386837669585666,0.525016994343782,0.808731308486567,1.51862113708913,2.11596588629115
"20",1997,"Spring",-0.372263088636772,-0.296585912237852,-0.522925943035592,-0.417185251718476,0.251567108208554,0.100041646719371,0.153578462792816,0.691944224858639,-0.78716977510612,2.99864810215816
"21",1998,"Spring",0.289469071569339,-0.663656941580185,-0.3064040047429,-0.580331566963835,1.20942174771621,0.0760480889464842,0.323602021692561,1.46412511735121,2.88453402907847,0.56711172825714
"22",1999,"Spring",0.447422086130734,-0.116926669980387,0.121857779171146,-0.240071201700335,1.26614237630353,-0.215060241791875,0.322380349303935,1.57426855115657,-0.0241763744964794,2.23636065632346
"23",2000,"Spring",0.77015243257295,0.308127926999085,1.1242634645121,0.349824661757256,1.75634263304358,0.195560600917092,0.195227248717823,0.469647139376928,3.72717376396247,0.476878590600655
"24",2001,"Spring",0.170190558662001,0.0141827109130515,0.0254547092416905,-0.0488668743655037,1.82294336539304,0.448599812889683,0.790566792757649,1.33489044823157,4.59009525121129,3.52263840555951
"25",2002,"Spring",1.3371510785148,-0.000634016604451154,1.69470427779282,0.30876074515051,-0.600526601396461,-0.261450038377631,-0.493649370201302,-0.206858591662113,-0.38753211802005,-1.83100859940397
"26",2003,"Spring",-1.09951241648661,-0.037206502127784,-0.317402936879887,-0.0111005074460141,-1.00182378169985,0.235722923865088,-0.177650395224141,-0.297135676179747,-0.859751574048089,-1.64729708930358
"27",2004,"Spring",-0.849833308278002,0.199475938656619,-1.62722367163644,-0.029841201687811,-1.15879299275066,0.0493459103146356,0.0370072037905227,-0.300078144963425,-0.247822006481871,-1.13213615685
