"","year","season","sfc_temp","sfc_salt","btm_temp","btm_salt","ctyp_100m3","calfin_100m3","pseudo_100m3","tlong_100m3"
"1",1979,"Winter",-0.732960033618987,0.594111695573419,0.250267233707861,0.149114755375553,-0.312061230895845,-0.403829246168035,-0.717491627005849,-0.845773344305081
"2",1980,"Winter",0.558599212995899,0.687889686744369,-0.528892109227263,0.42414042912533,0.963878653712234,-0.118378465921975,0.37433675745219,0.035822402243374
"3",1981,"Winter",-0.774438678574549,-0.203964962131606,-0.483511887543455,-0.0293137873954201,0.636541441031966,-0.345662210883641,0.396089206706384,0.309741600434213
"4",1982,"Winter",-1.32018305924793,0.112234852974571,0.131814035502885,-0.0321858328836958,-0.740676912910849,0.507988614312149,-0.353043839032729,0.0740744311818001
"5",1983,"Winter",-0.398633539954642,-0.000274480260074039,-0.381214376321523,-0.124839996857263,0.00794675584533553,0.162140691277147,0.134575346845728,-0.318179827302285
"6",1984,"Winter",0.301850997786249,0.144332381037794,0.425737225397493,-0.174176737829937,-0.082317597764987,0.2427994866134,-0.272723363891798,0.00068292351412858
"7",1985,"Winter",-2.1454132613831,-0.041805433902449,-0.283821101313326,-0.00587857580638058,-0.787060189133185,0.0513734722738624,-0.231767417545589,-0.017795683659846
"8",1986,"Winter",-0.337592927847474,0.369209674735093,-0.563597764304136,-0.304635312583073,-0.414603519764713,0.307168821877995,0.0651117083144641,-0.107717270801185
"9",1995,"Winter",-0.352303100553518,-0.803422768978713,NA,NA,0.878222431212992,-0.427084588463323,0.239842819951,1.66122466972085
"10",1997,"Winter",0.00286306003977899,-0.47011524256019,1.32388546430355,0.538308457179561,0.880265802821065,-0.537610976583224,-0.192822465464637,0.331518967269137
"11",1998,"Winter",-1.33187493026983,-1.46940875622662,NA,NA,0.688890999446904,-0.157331881455276,0.622837319233967,1.81089712362943
"12",1999,"Winter",-0.0921449143554905,-0.323155587355765,-0.56545220619716,-0.258176042727732,1.04916489684258,-0.317462556001263,0.721984570527654,0.657841065101826
"13",2002,"Winter",1.40298712228112,0.107414826034949,0.496040903103089,-0.127664965398974,-0.295282438472365,0.365653085302228,0.00963824569967093,0.32789628139026
"14",2003,"Winter",-2.16854159693649,NA,2.49773864857964,NA,-0.31685139172788,0.585136184167662,0.00427485402604932,-0.341869636051027
"15",2005,"Winter",-0.822944845947793,-0.710227249041093,-0.960855467074656,-0.646516766927821,-0.803091668906348,0.27894829180959,-0.201959170457831,-0.250630640312586
"16",2006,"Winter",0.391426085415721,-0.492668891802534,0.562367579790192,-0.019896286154322,-1.11028505996513,0.298858811281043,-0.392823345885626,-0.3250484010863
"17",2007,"Winter",1.08834012764935,0.188351987415028,0.735034678870821,0.0393553011405416,0.546702866719665,0.166819939864461,-0.188535456025985,-0.143876346652716
"18",2008,"Winter",-0.0598939061638845,-0.0142437943336361,-0.594661888001279,-0.123953122002632,-1.78938802097213,0.535290962088197,-0.422136845652434,-0.261231159145052
"19",2009,"Winter",-0.187938985124936,0.0463216484844852,0.25913881389546,0.289376615578261,-0.000672138395253744,0.606137388110908,-0.528302459961838,-0.224472941362983
"20",2011,"Winter",0.238811335345951,-0.695597462983609,1.31033136832824,-0.0211775301940926,-0.111507876530473,-0.0513937221563572,0.127766691848096,0.354776742580213
"21",2012,"Winter",1.56161666498894,0.105255899002231,1.68724639799746,0.244511985071805,0.756044806019342,0.0470105423752402,-0.254784485289304,-0.237104211323127
"22",2013,"Winter",2.16205105091483,0.334714246519525,3.90446271707972,1.29369552195899,1.5409678495022,0.149311036593428,0.100468378481578,-0.175759484082923
