"","year","season","sfc_temp","sfc_salt","btm_temp","btm_salt","ctyp_100m3","calfin_100m3","pseudo_100m3","tlong_100m3","PC1","PC2"
"1",1977,"Summer",0.733961868368404,0.218293604582224,-0.797539492829412,1.00440874204269,-1.98846654439864,0.689037096768635,-0.778047573616152,-1.97439341113988,-4.39618940805839,-0.637647254490492
"2",1978,"Summer",-0.00276165187242622,-0.0177324533182508,-1.01148764288415,0.133377911758678,-0.590727270680938,0.103833006461409,-0.25094567789984,-1.79238053855428,-4.68988576365075,-1.88146987920643
"3",1979,"Summer",0.0559281933608397,0.124587707065677,-0.811897537326679,0.315692976544632,0.224705792074069,-0.102870717561764,0.426474496536054,-0.188354930809288,-0.419201228495985,3.39131876707276
"4",1980,"Summer",1.25195350599549,0.490602524981938,0.1151905708307,0.270728540979137,0.526417801259782,0.166144661733033,-0.204297464275995,-0.640353693882731,-0.752946820514742,1.39211674543373
"5",1982,"Summer",-0.43086901109039,0.393788169046572,-0.576188811003871,0.0345292031709178,1.65974582858895,-0.0213693792279268,0.653308988832486,-0.423291034108452,0.792527352921756,2.61610074266024
"6",1983,"Summer",0.903251653397369,-0.046629019866592,0.00566239472842089,-0.230266524880133,-0.826039531586057,-0.446409211630231,-0.524274413476094,-0.42355925598275,-3.1819323267335,1.79946833569262
"7",1985,"Summer",NA,NA,NA,NA,-0.267329212535528,-0.0669468233557422,-0.142536408648195,-0.620135307374588,-1.76022246342039,1.59318254104581
"8",1986,"Summer",-0.239062349139953,0.0363146620699434,-0.580115620840073,0.237693009694503,-0.602403862441342,0.0284450527049354,-0.497884160843911,-1.37765274687615,-4.28769654836613,1.09197884340968
"9",1987,"Summer",0.8323210127849,-0.04489223569602,-1.4104205798559,-0.351322850820438,-1.24947417177461,0.144186111585689,-0.455593117066412,-0.359234978652618,-2.06484257929201,-0.423693451903563
"10",1991,"Summer",NA,NA,NA,NA,1.56511140439816,-0.101123857405199,0.235955307163927,1.53745307510266,4.96417641946393,-2.61408205580083
"11",1992,"Summer",NA,NA,NA,NA,-0.209729602928673,-0.0012402289760428,0.409159956376349,-0.347561510615333,0.643802527590982,-1.80883386390127
"12",1994,"Summer",NA,NA,NA,NA,0.879529513252251,-0.199277239976762,-0.221578134606942,-0.695999784207424,-0.279478714266539,1.29036664806142
"13",1995,"Summer",-0.711901825158174,-0.420286090357752,0.961298475107744,-0.952140339935147,-0.295254402004203,-0.481526021873746,-0.264034270713474,0.402374924449685,-1.07710606722641,-0.292236354793467
"14",1996,"Summer",-0.264072738421581,-0.356995275200158,-0.558484273541016,-0.499493355261223,-0.830337724166254,0.00102649862440676,-0.02972310293801,0.762321012923114,-0.737749726812626,0.339907770543998
"15",1997,"Summer",NA,NA,NA,NA,0.766656716446997,0.220526382063394,0.385389912793054,1.3681754309284,3.14293550208577,-0.828620438546358
"16",1998,"Summer",-0.393145864299434,-0.384995496952844,-1.06317542387041,-0.229652252020647,0.221198968735927,-0.0382544069401566,0.385746757417168,1.56868709073756,3.29266635609905,-2.19920236554292
"17",1999,"Summer",0.856481885497745,0.146981532691124,0.371107485744278,0.446375496939245,0.0502709158858638,0.414354839657032,0.368933728546967,0.506201381933071,2.76387667618185,-0.502130055000262
"18",2000,"Summer",0.791445854831792,0.0933612611614278,0.604934194926606,-0.1910425286457,1.56815105587874,0.0121193982628574,0.365353522589581,0.960559083020646,6.26548096680458,2.00787553591992
"19",2001,"Summer",-0.56111071727074,-0.241498706957688,-0.749875401862,-0.0780581019258753,0.170066475344108,0.227551345296703,0.387608209291099,1.24290328377128,3.17003908555319,-2.92966776130027
"20",2002,"Summer",0.358580017747763,0.136811294121134,0.565838511106148,-0.0135755787182256,-0.932237208757769,-0.160683041607177,-1.0556151888376,0.0120959172517672,-0.68742446717001,-1.30882473411881
"21",2003,"Summer",-1.46043591485822,0.0396498598431467,0.777376075514536,-0.241281224189715,-1.18033989254737,-0.10855821604035,-0.0846560779451885,0.0156992111016849,-0.011954933269375,-1.9397988598078
"22",2004,"Summer",-0.58643251150879,-0.224452771942086,-1.43684320669833,-0.33759571850744,-1.36427190310363,0.233723081875392,-0.0875880224744714,-0.0652081125300201,-2.39092967488407,-1.61978117006376
"23",2005,"Summer",-0.785387452672958,-0.548607517399691,-0.998460631923566,-0.709808175995099,-1.58121291941644,-0.214385568705867,-0.110772746755817,0.406467443607242,-1.60322576439081,-0.597073897088909
"24",2006,"Summer",0.0877218210830768,-0.233479379922451,1.09916421269323,-0.0146237481197129,-0.483652518013798,-0.181388839274929,-0.319377082741178,0.705125970254977,0.0930453486741831,0.423701598471381
"25",2007,"Summer",0.764210218835726,0.255207410682447,-0.621542495375948,0.368932115684328,-1.25587424638442,0.195393418144687,-0.155011674061063,-1.01462845902833,-3.89796581487133,-1.11188914054862
"26",2008,"Summer",-0.28893202270719,-0.253105167961563,-0.60370905904259,-0.225147754157843,-0.418076039780421,0.095837183613475,-0.122856003928269,0.572463233567043,1.04213919418882,-3.66699505988532
"27",2009,"Summer",0.945938578754865,0.192614188579856,0.166217368970351,0.492158492776445,-1.2244401519325,0.072949079435665,0.120690638872797,-0.478014856602585,-1.14841709350205,0.300794150246436
"28",2010,"Summer",1.44837052944753,0.0634105430769781,0.727083973960586,0.38173446152904,0.489574739702019,0.0987770158328337,0.205754074281559,-0.31470697766271,0.370461715612043,1.38060190673184
"29",2011,"Summer",0.389860217419381,-0.0905323237153787,1.26861650396478,0.328505222143054,-0.641909528129143,0.136467633664227,-0.367839369405416,-0.868062719285293,-3.80398490388767,-0.430877168420928
"30",2012,"Summer",3.12948157813353,0.354865159871336,1.20957413250162,1.04814438669989,1.58979346886259,-0.0690221392136394,-0.573307183513754,0.368037937534533,0.217951694082435,3.75982094596861
"31",2013,"Summer",1.20940621236164,-0.323718355595501,1.13361650396478,-0.119994777856947,2.04063034016896,0.0752804586593925,0.235936662314804,0.620688077632671,2.64401088551728,1.9557111821406
"32",2016,"Summer",0.601014562019479,0.262396272543069,1.09565317408499,0.159387741922425,2.25917570965039,0.396589361369947,0.623961754652613,0.530574804860802,2.62226753723789,0.475735477290228
"33",2017,"Summer",0.986998221010527,-0.592196583116448,-0.287148238325727,-0.106459356256759,-0.698174872117522,0.100650764066024,0.0501612901151595,-0.845170162448565,-0.098646450330694,0.156029987611279
"34",2018,"Summer",2.55797981709588,-0.123069394278435,0.95133565719028,-0.0104516071001584,3.01272107562528,0.3995227444866,0.929212119548799,2.05027996422733,6.12938693017795,1.266740800201
"35",2019,"Summer",0.66969175242586,0.0576619530695523,0.339668990523613,-0.112284940433495,-0.836053452167003,0.16689765256591,-0.0204768613411672,-0.14594511716414,-0.864967443048217,-0.448628468081558
