"","year","season","sfc_temp","sfc_salt","btm_temp","btm_salt","ctyp_100m3","calfin_100m3","pseudo_100m3","tlong_100m3","PC1","PC2"
"1",1977,"Winter",-1.28979912877095,0.128827573851851,0.457983623214284,-0.225182845290497,-1.05605226929559,0.0157106807922716,0.114024503516956,-0.798347872553799,-2.98047817617875,-0.648490662958197
"2",1978,"Winter",NA,NA,NA,NA,-1.32129309595427,0.230128858914394,-0.577350718127829,-0.640693243842948,-3.90546957813568,-0.805038840086126
"3",1979,"Winter",-1.40217139884105,0.751718366182986,-1.80370097883276,1.33811795907955,-0.962566242191687,0.386700611938671,-0.836670191312112,-1.53434579612283,-1.93576134626091,-5.56086350702092
"4",1980,"Winter",-0.722077834769284,0.622634790220335,-0.194903094676988,0.466067564707592,0.24888437246445,-0.317937092776224,0.0150317051139855,-0.451321014633015,0.545097074276501,-1.24396243978697
"5",1981,"Winter",-1.65665820046572,0.0077097020518367,-0.977389596841609,0.330156356389312,0.123410929513043,-0.130118764146599,-0.277336090056343,-0.87635709514904,-0.308117048555981,-2.03144950450761
"6",1982,"Winter",-0.853873288526883,0.128067872021359,-0.798809321836635,0.458604850944314,0.0139813735767471,0.257971093623013,-0.224857820933633,-0.689178292458979,-0.734447208635932,-1.17164454743965
"7",1983,"Winter",0.420143518808721,0.27855007668844,0.526301795355215,0.235135338201136,-0.542624004144072,0.182059229169003,-0.512839521147661,-0.795822939475533,-2.58230969377631,0.0526059441952098
"8",1984,"Winter",-0.0522634206214412,0.00628886117888799,0.468336988246182,0.00879494704476762,-0.270649597387898,0.544068533042256,-0.481110267607546,-0.725004014034485,-3.53443899998479,0.627975018477472
"9",1985,"Winter",-0.628735007181818,0.490189408287622,-0.748026799115966,0.419630708106233,-0.471180045803921,0.45673219762127,-0.51349739964354,-1.13196122294957,-3.76840963570052,0.354061673043308
"10",1986,"Winter",-0.230517008803064,0.325703534044847,-0.403911405337694,0.212126694449563,-0.431365820429859,0.341204030852719,-0.710714327106025,-0.779849067054954,-3.07730530657526,0.342104683070167
"11",1987,"Winter",1.21383392132123,0.225531823355527,0.880825918943787,0.0486395046323992,0.859973494301859,-0.477537573366118,0.280319851159177,-0.194039770558286,1.91367357349947,2.60341917193415
"12",1988,"Winter",-2.24915968175796,0.0184029276866767,-1.28507661734152,-0.380607385141686,0.351974846881733,-0.415742706889135,0.653979876807937,0.0632462201218515,-2.21081464282388,4.28367216974576
"13",1989,"Winter",-1.62689645201683,0.0307772194714281,-1.62859621264678,-0.247367807971309,0.507479218364298,-0.440825016321106,0.722660289737423,0.40185065415253,-0.523441412760313,3.00379703185291
"14",1990,"Winter",-1.19308031578659,0.192628321728645,-0.99530490789323,-0.144586885588566,0.509919836476145,-0.471775489148596,0.86161871192616,0.261728326373853,1.24004921316152,4.24612788989178
"15",1991,"Winter",-0.0345921875784811,0.0384101813348626,0.205035329887433,-0.196461045852255,0.745674824460014,-1.14791411366608,0.561857428631285,0.484534574809746,2.56027234370713,3.38729839583181
"16",1992,"Winter",-0.747209637361539,-0.302388462194667,-0.80845924546315,-0.571992935005948,0.690560375937528,-0.877262493535176,0.441296940153199,1.18812180586502,2.88092700169233,2.33457874793601
"17",1993,"Winter",-0.623328379398397,-0.242590508537199,-0.305281757215319,-0.408129009505814,0.360678787033374,-0.837068804270375,0.556235718877613,1.34754796333339,3.20521736057122,1.72292300619466
"18",1994,"Winter",-0.431339538559601,-0.31406661788037,-0.356539632521695,-0.363142495434143,0.987079689172256,-0.715767830629246,0.857277249784747,1.76730771247781,3.69941041429513,0.892607698225152
"19",1995,"Winter",1.66463607432145,0.331870985121369,1.44949415425464,0.415339201673287,0.442523140711485,0.192835667052393,-0.428104028771034,-0.0935587528460657,1.64405758296057,-0.766853493225489
"20",1996,"Winter",0.952556969245641,-0.0207396102663608,1.52732295556288,0.315019634460114,1.10033737553408,0.0259506853690014,-0.308433175900118,0.23720560545627,3.11737428270642,-1.37377099805281
