"","YEAR","SEX","Stock","FultonK","SD","CV","avgFultK","source"
"1",1987,"Male","Georges Bank",0.987457791491497,0.106949122124621,10.8307537847345,0.924212599466816,"DFO"
"2",1987,"Female","Georges Bank",0.992313859348521,0.0963050709323377,9.70510187125316,0.924212599466816,"DFO"
"3",1988,"Male","Georges Bank",0.972861306312873,0.119961165630976,12.3307572058371,0.924212599466816,"DFO"
"4",1988,"Female","Georges Bank",0.984689626964318,0.110188823441873,11.1902086123901,0.924212599466816,"DFO"
"5",1989,"Male","Georges Bank",1.01563540784285,0.144170819696601,14.1951352407861,0.924212599466816,"DFO"
"6",1989,"Female","Georges Bank",1.01672112955113,0.115699485995913,11.3796677017023,0.924212599466816,"DFO"
"7",1990,"Male","Georges Bank",0.978363594333482,0.125104238619999,12.7870905402227,0.924212599466816,"DFO"
"8",1990,"Female","Georges Bank",0.989100578130344,0.116861467737448,11.8149225995142,0.924212599466816,"DFO"
"9",1991,"Male","Georges Bank",1.00870089714688,0.103091769642263,10.2202516061857,0.924212599466816,"DFO"
"10",1991,"Female","Georges Bank",1.01444738847522,0.107965213974138,10.6427612905994,0.924212599466816,"DFO"
"11",1992,"Male","Georges Bank",0.974476560106272,0.106632283675504,10.9425190959827,0.924212599466816,"DFO"
"12",1992,"Female","Georges Bank",0.99626157539326,0.0906397242324052,9.09798455256356,0.924212599466816,"DFO"
"13",1993,"Male","Georges Bank",0.961504701288714,0.0940192925357564,9.77834974802946,0.924212599466816,"DFO"
"14",1993,"Female","Georges Bank",0.976882137731423,0.093957025723885,9.61805135899792,0.924212599466816,"DFO"
"15",1994,"Male","Georges Bank",0.928035776405367,0.0871473276863891,9.39051380367507,0.924212599466816,"DFO"
"16",1994,"Female","Georges Bank",0.948029429036119,0.0960437169278567,10.130879272968,0.924212599466816,"DFO"
"17",1995,"Male","Georges Bank",0.95463044097608,0.133365471701659,13.9703770147218,0.924212599466816,"DFO"
"18",1995,"Female","Georges Bank",0.968616949701995,0.101701974425258,10.4997103815443,0.924212599466816,"DFO"
"19",1996,"Male","Georges Bank",0.931465823178381,0.084219537543679,9.04161327747937,0.924212599466816,"DFO"
"20",1996,"Female","Georges Bank",0.96046887638513,0.0816601352881215,8.50211155154364,0.924212599466816,"DFO"
"21",1997,"Male","Georges Bank",0.928011688371481,0.0939362018848745,10.1223080551623,0.924212599466816,"DFO"
"22",1997,"Female","Georges Bank",0.946582060880693,0.101842218086545,10.7589423353103,0.924212599466816,"DFO"
"23",1998,"Male","Georges Bank",0.935104710659771,0.0876527761589618,9.37357871902042,0.924212599466816,"DFO"
"24",1998,"Female","Georges Bank",0.938305535023336,0.1132500438732,12.0696339993757,0.924212599466816,"DFO"
"25",1999,"Male","Georges Bank",0.924430081913652,0.0798521190613055,8.63798362078445,0.924212599466816,"DFO"
"26",1999,"Female","Georges Bank",0.935638638052405,0.0951851973604012,10.173286297639,0.924212599466816,"DFO"
"27",2000,"Male","Georges Bank",0.96199794683346,0.131432301269394,13.6624305386534,0.924212599466816,"DFO"
"28",2000,"Female","Georges Bank",0.927291933334824,0.0892242985171826,9.62202897595635,0.924212599466816,"DFO"
"29",2001,"Male","Georges Bank",0.939164392786132,0.060932381951635,6.48793570323429,0.924212599466816,"DFO"
"30",2001,"Female","Georges Bank",0.922535280632835,0.104386618590573,11.3151898666647,0.924212599466816,"DFO"
"31",2002,"Male","Georges Bank",0.918500272938883,0.0742132723330886,8.0798312770917,0.924212599466816,"DFO"
"32",2002,"Female","Georges Bank",0.945448360003157,0.0920953876785509,9.74092204023109,0.924212599466816,"DFO"
"33",2003,"Male","Georges Bank",0.928348884717991,0.0727747362382434,7.83915804028251,0.924212599466816,"DFO"
"34",2003,"Female","Georges Bank",0.932554822400755,0.0882063734660617,9.45857244499413,0.924212599466816,"DFO"
"35",2004,"Male","Georges Bank",0.920521495337029,0.0934487152928431,10.1517146276556,0.924212599466816,"DFO"
"36",2004,"Female","Georges Bank",0.937825717572047,0.086286326706262,9.20067823791931,0.924212599466816,"DFO"
"37",2005,"Male","Georges Bank",0.889241936121722,0.0791840442478234,8.90466823833918,0.924212599466816,"DFO"
"38",2005,"Female","Georges Bank",0.883164257015369,0.077637212562341,8.7908010254756,0.924212599466816,"DFO"
"39",2006,"Male","Georges Bank",0.909520865203866,0.0822284614172058,9.0408548679941,0.924212599466816,"DFO"
"40",2006,"Female","Georges Bank",0.90648008192133,0.0875231330411284,9.65527371055068,0.924212599466816,"DFO"
"41",2007,"Male","Georges Bank",0.906923445930393,0.0723436511758435,7.9768200392733,0.924212599466816,"DFO"
"42",2007,"Female","Georges Bank",0.908105033044317,0.0820388910722438,9.03407514406322,0.924212599466816,"DFO"
"43",2008,"Male","Georges Bank",0.891007793469565,0.0720021249235324,8.08097588497601,0.924212599466816,"DFO"
"44",2008,"Female","Georges Bank",0.887860164321309,0.0930219590736795,10.4770956972472,0.924212599466816,"DFO"
"45",2009,"Male","Georges Bank",0.900694231083635,0.0795178277080125,8.82850416531964,0.924212599466816,"DFO"
"46",2009,"Female","Georges Bank",0.841340570464791,0.0750822239178851,8.92411783689531,0.924212599466816,"DFO"
"47",2010,"Male","Georges Bank",0.909361874919018,0.19734855554873,21.7018725978923,0.924212599466816,"DFO"
"48",2010,"Female","Georges Bank",0.849210488303867,0.119834788164328,14.1113174901637,0.924212599466816,"DFO"
"49",2011,"Male","Georges Bank",0.866183452102253,0.0694457115682375,8.01743688357134,0.924212599466816,"DFO"
